Year,Renewable electricity output 
1990,97.66081871
1991,97.63313609
1992,97.72727273
1993,97.48427673
1994,97.5308642
1995,97.56097561
1996,97.4025974
1997,97.22222222
1998,96.92307692
1999,96.96969697
2000,96.46017699
2001,97.79789899
2002,98
2003,98.3277592
2004,58.66388309
2005,55.77249576
2006,22.49560633
2007,25.70426792
2008,37.22365039
2009,39.97584541
2010,39.95019566
2011,43.29956585
2012,46.26090939
2013,35.88129932
2014,44.0581476
2015,56.88782816
2016,
2017,
2018,
2019,
2020,
